Product,Quantity,Price,Date,Time
Corn,213,90.16,2025-08-23,15:42
Rye,152,91.36,2025/01/28,17:58
Barley,377,24.12,2025-07-09,21:10
Wheat,289,21.06,2025-07-16,05:14
Barley,80,20.57,2025-07-25,23:40
Rye,279,68.79,2025/07/21,22:55
Barley,441,82.95,2025/01/21,10:11
Corn,437,95.22,2025-05-19,03:49
Soybean,377,24.91,2025/07/28,10:06
Quinoa,257,98.53,2025-10-01,16:03
Rice,293,41.37,2025/10/15,11:40
Soybean,190,42.53,2025/01/20,08:40
Corn,100,85.78,2025-10-25,11:30
Barley,471,54.34,2025/11/21,01:56
Rice,62,88.18,2025/09/24,04:16
Quinoa,320,83.69,2025/09/12,10:07
Barley,63,75.94,2025-07-27,13:54
Quinoa,85,36.05,2025/12/31,22:28
Corn,61,58.06,2025/05/13,06:07
Wheat,422,88.96,2025-01-02,11:43
Millet,66,81.76,2025-10-29,17:19
Barley,105,81.83,2025-05-05,08:52
Sorghum,271,46.1,2025/05/28,18:37
Oats,255,82.49,2025/11/30,07:31
Oats,232,18.17,2025-07-11,00:33
Millet,89,38.04,2025/01/06,06:27
Oats,140,55.64,2025/08/17,07:16
Barley,112,69.88,2025-01-02,00:46
Quinoa,259,28.89,2025/01/15,01:18
Rye,254,46.0,2025/02/23,06:07
Corn,345,60.08,2025/11/27,04:52
Millet,194,25.14,2025-03-03,13:45
Barley,100,65.67,2025-05-20,00:53
Corn,142,76.49,2025-04-12,20:54
Soybean,283,35.39,2025-09-06,15:33
Rice,57,78.89,2025-02-25,17:51
Soybean,111,56.03,2025-06-09,14:58
Barley,165,80.59,2025/01/05,09:22
Rye,234,29.7,2025-05-22,23:27
Oats,355,90.15,2025/04/20,07:59
Millet,449,13.83,2025-12-14,05:13
Rye,409,97.45,2025-01-05,09:27
Corn,155,86.23,2025-06-23,22:54
Oats,242,94.42,2025/10/07,19:48
Wheat,470,89.53,2025-11-26,20:21
Sorghum,385,19.68,2025/01/17,09:26
Wheat,274,28.75,2025-06-04,20:20
Millet,157,65.13,2025/08/13,09:27
Barley,245,64.78,2025/09/13,09:12
Sorghum,438,29.96,2025/06/21,10:28
Oats,194,11.22,2025-04-10,23:14
Quinoa,287,58.52,2025/09/10,11:35
Rice,441,75.38,2025/12/15,13:30
Wheat,78,25.48,2025-03-23,00:32
Corn,260,29.71,2025/09/25,09:32
Barley,424,15.77,2025-09-04,08:27
Rye,300,59.42,2025/08/25,02:53
Wheat,475,55.68,2025-08-15,08:20
Rice,249,88.42,2025/12/17,13:52
Sorghum,459,47.69,2025-02-15,09:25
Soybean,325,96.11,2025/01/20,04:04
Rice,394,59.21,2025-08-29,23:47
Sorghum,407,54.31,2025/06/23,13:34
Barley,168,81.92,2025-12-14,23:24
Sorghum,270,53.48,2025-11-22,03:32
Corn,386,13.31,2025/10/07,06:53
Corn,144,88.14,2025/08/17,12:51
Soybean,143,51.44,2025/11/27,04:19
Corn,441,68.54,2025-12-01,01:42
Sorghum,334,18.07,2025-10-12,13:23
Soybean,385,18.29,2025-10-14,13:27
Oats,310,12.37,2025/09/19,12:40
Millet,180,70.91,2025/11/01,03:45
Sorghum,134,56.66,2025/09/01,23:08
Sorghum,363,85.1,2025-01-16,17:39
Rice,459,61.95,2025-06-27,08:38
Wheat,414,99.17,2025-08-21,08:57
Oats,218,41.2,2025/09/25,06:06
Rice,92,49.22,2025/02/24,20:44
Millet,248,15.83,2025-04-19,15:44
Quinoa,436,94.08,2025-08-18,00:51
Barley,261,42.83,2025/09/04,01:54
Rye,358,91.33,2025-09-06,15:53
Soybean,307,20.87,2025/10/15,09:50
Millet,424,31.62,2025-06-21,23:26
Quinoa,461,15.66,2025/08/31,09:50
Wheat,72,16.56,2025/01/11,04:51
Rye,404,53.36,2025/01/27,16:48
Sorghum,449,44.26,2025/07/30,16:31
Corn,88,67.27,2025-11-25,07:54
Barley,439,83.39,2025-12-10,08:28
Quinoa,321,47.77,2025/12/01,18:08
Sorghum,415,37.38,2025/04/12,21:45
Sorghum,212,87.09,2025/10/23,21:59
Barley,192,42.57,2025-03-05,23:31
Wheat,459,45.0,2025-09-17,08:43
Wheat,209,47.66,2025-08-14,04:35
Rice,277,61.93,2025-12-14,05:22
Millet,130,58.94,2025-01-03,12:58
Quinoa,308,66.85,2025-08-12,02:55
Wheat,187,90.01,2025/08/19,08:45
Oats,428,27.11,2025-04-11,14:11
Barley,378,31.37,2025-12-13,11:53
Millet,92,18.86,2025-08-11,00:59
Soybean,494,55.52,2025-04-22,01:50
Rye,200,57.0,2025/11/13,10:58
Millet,304,59.1,2025-12-12,21:21
Quinoa,311,43.19,2025-04-28,02:20
Oats,79,52.17,2025-03-24,18:13
Barley,300,35.89,2025/07/24,07:42
Soybean,471,29.03,2025-06-13,20:19
Sorghum,96,62.15,2025-04-19,01:08
Oats,420,35.39,2025/01/11,11:37
Barley,365,74.81,2025-07-10,08:17
Wheat,78,50.46,2025-05-25,23:02
Oats,270,62.7,2025-01-15,03:00
Sorghum,273,79.78,2025-08-21,06:27
Wheat,123,37.28,2025-12-12,14:41
Soybean,232,64.87,2025/08/08,05:14
Quinoa,75,97.25,2025/06/28,08:42
Millet,395,99.92,2025-12-20,22:25
Rye,110,28.02,2025/09/30,09:30
Wheat,297,18.6,2025-02-04,03:02
Corn,83,36.31,2025/09/12,10:05
Oats,88,55.3,2025-09-28,13:17
Soybean,287,15.08,2025-10-24,03:21
Oats,214,23.7,2025-11-12,12:51
Quinoa,63,94.14,2025/08/29,16:20
Oats,296,11.01,2025-08-01,11:12
Oats,479,10.4,2025/01/15,12:41
Soybean,413,48.18,2025-12-04,15:57
Millet,175,98.75,2025/09/15,08:39
Rye,446,97.47,2025-02-12,00:53
Barley,212,29.08,2025/08/27,07:58
Corn,493,33.65,2025/07/13,18:16
Soybean,157,95.87,2025/05/01,03:40
Barley,237,96.73,2025-06-07,17:38
Wheat,316,27.28,2025/10/24,18:02
Corn,381,27.69,2025-04-15,06:43
Rye,301,98.72,2025-09-27,01:11
Wheat,170,20.47,2025-10-27,15:37
Rice,312,15.6,2025/02/03,22:40
Corn,152,38.17,2025-05-13,09:49
Soybean,427,64.73,2025-01-30,19:14
Barley,467,11.19,2025/02/27,03:05
Sorghum,139,45.17,2025/01/11,13:15
Wheat,51,32.67,2025-12-28,11:34
Rye,145,77.32,2025/12/10,00:22
Oats,74,12.02,2025-05-03,14:44
Sorghum,94,83.41,2025-04-06,13:31
Millet,275,33.24,2025/05/28,23:30
Millet,166,30.89,2025-06-13,22:22
Millet,409,36.25,2025-11-18,18:46
Wheat,453,62.66,2025/06/10,23:54
Corn,292,29.76,2025/02/06,08:51
Wheat,315,11.95,2025-03-06,22:15
Barley,479,88.66,2025-08-18,13:21
Sorghum,492,32.81,2025/05/07,19:49
Oats,344,79.58,2025-10-12,16:59
Oats,407,63.65,2025/07/19,07:51
Barley,294,97.27,2025-01-14,10:41
Soybean,472,43.03,2025-12-20,06:50
Quinoa,447,52.75,2025-02-26,08:49
Millet,313,31.7,2025/09/23,08:08
Rye,308,51.14,2025/02/25,00:52
Rice,492,45.29,2025/02/14,13:45
Wheat,415,70.32,2025/07/27,23:43
Millet,104,59.72,2025/02/26,15:43
Barley,229,25.67,2025-01-23,09:33
Quinoa,60,27.27,2025-04-30,11:06
Soybean,91,47.94,2025/12/30,19:45
Rice,107,95.65,2025-10-18,06:26
Oats,400,78.51,2025/06/04,03:38
Oats,303,97.71,2025/09/16,15:27
Rye,365,29.64,2025/09/05,20:10
Corn,212,23.76,2025/12/04,20:10
Soybean,265,12.63,2025-04-26,21:27
Rye,74,54.64,2025-11-12,02:26
Rice,283,40.25,2025-01-28,10:11
Quinoa,256,60.81,2025/07/13,07:58
Wheat,402,60.52,2025-12-22,12:07
Millet,331,97.66,2025-02-28,06:15
Millet,150,72.51,2025-02-05,01:59
Sorghum,429,49.38,2025-09-27,22:38
Corn,143,36.03,2025-08-10,16:02
Barley,79,51.29,2025-03-06,02:30
Sorghum,408,25.1,2025/09/29,05:06
Soybean,105,14.24,2025/04/12,19:34
Corn,111,69.05,2025/01/23,15:02
Rice,431,45.77,2025/08/08,04:44
Rye,91,94.72,2025/12/15,02:36
Soybean,68,15.6,2025/10/20,14:18
Barley,197,32.34,2025/12/31,16:47
Rye,478,22.89,2025-01-07,01:27
Barley,205,75.77,2025-01-31,08:47
Corn,61,50.33,2025-04-10,02:30
Soybean,119,22.31,2025/04/17,00:19
Sorghum,199,56.78,2025-09-27,01:51
Rye,63,57.8,2025-05-08,22:27
Corn,488,18.75,2025-04-11,05:00
Quinoa,82,37.68,2025/04/13,22:09
Oats,293,94.26,2025-11-13,12:57
Soybean,458,28.57,2025-07-21,14:59
Sorghum,143,72.04,2025/08/25,15:44
Soybean,269,59.82,2025/10/30,12:53
Sorghum,363,99.16,2025-10-22,11:23
Sorghum,334,88.15,2025/07/21,05:51
Wheat,86,17.69,2025/07/17,20:31
Wheat,403,60.16,2025-09-21,08:20
Oats,329,50.93,2025/02/24,23:29
Barley,473,89.12,2025/01/13,08:41
Rye,134,41.01,2025-03-31,16:10
Corn,151,46.67,2025/08/21,08:27
Quinoa,82,63.87,2025-01-08,13:16
Sorghum,442,10.33,2025-08-11,13:52
Oats,268,38.64,2025-12-20,19:02
Oats,95,12.5,2025/12/18,04:46
Quinoa,221,79.46,2025/05/26,20:37
Oats,222,91.37,2025-02-23,19:12
Quinoa,56,90.38,2025-06-30,16:26
Sorghum,337,10.88,2025/10/14,09:50
Soybean,387,62.26,2025/07/08,15:49
Barley,186,51.1,2025-02-26,09:49
Sorghum,123,44.81,2025/05/06,15:09
Corn,109,72.81,2025/07/24,07:53
Rice,323,85.77,2025/07/31,11:14
Millet,244,56.27,2025-01-07,10:30
Soybean,388,80.13,2025/05/10,22:42
Sorghum,183,99.28,2025-03-16,00:30
Wheat,289,45.27,2025/05/23,20:21
Barley,90,55.55,2025-02-26,20:18
Soybean,475,52.95,2025-03-30,23:52
Millet,237,73.73,2025/01/26,03:36
Sorghum,88,81.09,2025/03/23,09:50
Quinoa,282,86.69,2025/07/27,21:49
Sorghum,260,87.79,2025-06-14,02:50
Corn,404,18.61,2025-07-05,13:04
Barley,389,94.89,2025/09/15,12:13
Barley,164,70.19,2025/10/27,18:20
Barley,183,92.86,2025-05-15,20:30
Corn,336,44.62,2025/11/09,09:58
Sorghum,466,40.74,2025/08/23,17:32
Barley,56,76.67,2025-12-10,22:50
Quinoa,411,95.61,2025-11-13,21:16
Barley,82,86.81,2025/06/10,02:09
Soybean,359,46.22,2025-07-27,18:22
Sorghum,98,53.96,2025/10/15,14:04
Sorghum,294,68.84,2025/06/21,21:16
Millet,320,96.7,2025-01-26,01:02
Rye,78,97.97,2025-02-03,04:51
Corn,404,76.15,2025/04/01,08:46
Rye,327,10.3,2025-06-30,16:33
Rye,459,61.88,2025-10-10,20:22
Rice,80,69.73,2025/10/20,11:41
Rice,440,51.89,2025/06/05,12:19
Quinoa,81,34.35,2025/03/03,11:51
Quinoa,300,85.24,2025/08/05,18:43
Soybean,309,52.98,2025/11/12,01:32
Sorghum,112,86.96,2025/01/28,16:18
Quinoa,372,11.2,2025/05/31,11:30
Soybean,94,88.74,2025-04-16,16:58
Corn,90,12.34,2025-05-06,14:07
Barley,139,93.94,2025/07/30,00:04
Sorghum,242,13.1,2025-07-29,02:36
Millet,380,12.76,2025-05-28,04:06
Rye,317,67.65,2025-08-19,09:26
Sorghum,288,82.0,2025-09-02,01:09
Oats,190,84.47,2025-11-25,13:19
Barley,348,93.71,2025/02/27,12:29
Millet,462,57.5,2025/10/09,13:57
Corn,343,55.75,2025/12/08,08:32
Wheat,321,35.96,2025/08/20,00:18
Corn,68,81.79,2025/12/07,19:12
Sorghum,438,50.28,2025-02-09,02:21
Wheat,106,37.56,2025-03-31,07:58
Corn,277,43.78,2025/07/22,07:54
Corn,390,38.42,2025/05/15,20:15
Rice,322,49.66,2025-09-29,18:24
Rye,462,93.91,2025-10-21,00:54
Soybean,290,27.64,2025/04/30,12:14
Barley,396,61.44,2025/11/13,21:32
Oats,88,39.26,2025-04-10,14:10
Oats,71,15.76,2025/04/29,22:51
Millet,138,48.76,2025-04-12,18:35
Wheat,260,17.65,2025-04-27,16:17
Oats,88,19.69,2025/06/21,10:56
Rye,195,17.6,2025-04-05,15:59
Soybean,165,90.36,2025/08/09,11:22
Rice,243,32.87,2025-08-30,03:49
Rice,210,59.35,2025/10/23,15:56
Soybean,463,16.36,2025-11-07,01:04
Barley,181,49.02,2025/02/16,08:17
Sorghum,231,23.5,2025-12-19,03:05
Corn,362,31.35,2025/11/02,09:57
Sorghum,462,73.99,2025/09/11,01:30
Sorghum,188,95.04,2025-03-09,17:21
Wheat,337,99.52,2025/06/28,15:23
Wheat,418,55.69,2025/05/19,10:02
Soybean,254,22.17,2025/10/22,04:07
Rye,270,13.04,2025/11/09,16:17
Wheat,158,85.97,2025-02-03,10:36
Sorghum,285,87.76,2025-08-18,12:36
Corn,127,19.82,2025/09/10,19:57
Millet,384,99.09,2025/11/25,15:53
Corn,366,68.87,2025-01-03,19:09
Rice,206,52.05,2025-08-05,01:02
Soybean,281,93.18,2025/04/17,20:48
Soybean,440,70.75,2025-10-24,20:09
Barley,308,38.08,2025/09/27,13:13
Corn,365,73.62,2025-02-07,08:33
Oats,197,70.21,2025-09-01,16:18
Quinoa,323,37.52,2025/07/29,01:58
Rice,309,35.35,2025-07-29,18:25
Soybean,113,33.81,2025/04/08,19:27
Corn,435,39.62,2025-06-19,19:13
Corn,173,46.29,2025/04/27,14:05
Oats,189,35.97,2025/10/18,07:58
Millet,176,40.78,2025/07/16,19:21
Quinoa,50,11.64,2025/08/12,14:46
Oats,286,53.38,2025-06-27,16:08
Millet,184,34.01,2025/05/31,05:59
Wheat,411,79.4,2025/06/05,07:17
Rice,436,66.13,2025-02-07,05:31
Oats,365,32.77,2025-12-08,01:24
Quinoa,107,56.11,2025-06-20,11:51
Corn,344,91.07,2025-06-19,00:07
Rice,250,63.28,2025/05/18,20:34
Oats,369,70.12,2025/04/20,17:05
Quinoa,146,23.08,2025-01-09,11:27
Rice,159,53.66,2025/04/04,12:01
Oats,89,69.81,2025/12/15,20:12
Sorghum,499,58.05,2025-09-17,03:48
Wheat,209,37.8,2025-05-25,14:21
Rice,177,32.11,2025-09-27,08:24
Rice,137,21.33,2025/09/25,08:29
Quinoa,317,55.92,2025-07-15,00:09
Quinoa,485,47.93,2025-04-08,20:57
Oats,160,82.92,2025/09/20,09:32
Oats,437,67.61,2025/08/11,05:33
Oats,437,36.78,2025-11-03,14:31
Sorghum,310,57.13,2025-12-22,10:58
Sorghum,101,29.32,2025-03-02,18:24
Wheat,330,29.32,2025-03-09,08:38
Rice,82,25.87,2025-08-29,09:12
Oats,478,29.3,2025/03/19,23:49
Millet,184,72.07,2025-09-05,00:06
Quinoa,88,96.74,2025-10-15,19:17
Rice,73,54.02,2025/02/15,21:49
Millet,303,68.15,2025/11/16,07:46
Rye,485,41.41,2025-09-16,12:46
Quinoa,152,73.43,2025-02-21,17:27
Rye,273,63.43,2025-08-10,12:30
Rice,115,59.71,2025/05/22,08:16
Soybean,162,36.89,2025-03-10,18:26
